"",".model","month","dose_adminstrated",".mean","90%_lower","90%_upper"
"1","expontential_smoothing",2022 Jan,N(114943, 9.7e+07),114942.678543666,98757.5477528732,131127.809334458
"2","expontential_smoothing",2022 Feb,N(113101, 9.7e+07),113100.690389669,96870.9765012792,129330.404278058
"3","expontential_smoothing",2022 Mar,N(122828, 9.8e+07),122828.177324047,106554.002472986,139102.352175108
"4","expontential_smoothing",2022 Apr,N(118637, 9.8e+07),118636.815824995,102318.301147892,134955.330502098
"5","expontential_smoothing",2022 May,N(126601, 9.9e+07),126601.017167986,110238.282816701,142963.751519272
"6","expontential_smoothing",2022 Jun,N(114632, 9.9e+07),114631.850300087,98225.0154549784,131038.685145195
"7","expontential_smoothing",2022 Jul,N(117788, 1e+08),117787.534690564,101336.717573515,134238.351807612
"8","expontential_smoothing",2022 Aug,N(115289, 1e+08),115288.974147811,98794.2920350056,131783.656260616
"9","expontential_smoothing",2022 Sep,N(119273, 1e+08),119273.032940147,102734.602174611,135811.463705683
"10","expontential_smoothing",2022 Oct,N(116675, 1e+08),116674.514051487,100092.4500554,133256.578047575
"11","expontential_smoothing",2022 Nov,N(111939, 1e+08),111938.963056212,95313.3803429884,128564.545769436
"12","expontential_smoothing",2022 Dec,N(97100, 1e+08),97100.4818396889,80431.3772079007,113769.586471477
